file;time;vertices;edges;solsize;recsteps;finished;verified
1-random/000002_000000000002.dimacs;0.09;2;0;0;0;1;correct;0;;
1-random/000002_000000000006.dimacs;0.05;6;4;1;0;1;correct;0;;
1-random/000002_000000000012.dimacs;0.05;12;10;2;0;1;correct;0;;
1-random/000002_000000000020.dimacs;0.05;20;18;2;0;1;correct;0;;
1-random/000004_000000000004.dimacs;0.07;4;0;0;0;1;correct;0;;
1-random/000004_000000000012.dimacs;0.05;12;8;4;0;1;correct;0;;
1-random/000004_000000000024.dimacs;0.05;24;20;4;0;1;correct;0;;
1-random/000004_000000000040.dimacs;0.06;40;36;4;0;1;correct;0;;
1-random/000006_000000000007.dimacs;0.05;7;1;1;0;1;correct;0;;
1-random/000006_000000000018.dimacs;0.05;18;12;4;0;1;correct;0;;
1-random/000006_000000000036.dimacs;0.05;36;30;4;0;1;correct;0;;
1-random/000006_000000000060.dimacs;0.05;60;54;5;0;1;correct;0;;
1-random/000008_000000000009.dimacs;0.05;9;1;1;0;1;correct;0;;
1-random/000008_000000000024.dimacs;0.05;24;16;5;0;1;correct;0;;
1-random/000008_000000000048.dimacs;0.05;48;40;7;0;1;correct;0;;
1-random/000008_000000000080.dimacs;0.05;80;72;7;0;1;correct;0;;
1-random/000010_000000000012.dimacs;0.06;12;2;2;0;1;correct;0;;
1-random/000010_000000000030.dimacs;0.05;30;20;8;0;1;correct;0;;
1-random/000010_000000000060.dimacs;0.05;60;50;10;0;1;correct;0;;
1-random/000010_000000000100.dimacs;0.06;100;90;10;0;1;correct;0;;
1-random/000012_000000000014.dimacs;0.05;14;2;1;0;1;correct;0;;
1-random/000012_000000000036.dimacs;0.05;36;24;10;0;1;correct;0;;
1-random/000012_000000000072.dimacs;0.05;72;60;11;0;1;correct;0;;
1-random/000012_000000000120.dimacs;0.05;120;108;11;0;1;correct;0;;
1-random/000014_000000000016.dimacs;0.06;16;2;2;0;1;correct;0;;
1-random/000014_000000000042.dimacs;0.05;42;28;8;0;1;correct;0;;
1-random/000014_000000000084.dimacs;0.05;84;70;13;0;1;correct;0;;
1-random/000014_000000000140.dimacs;0.06;140;126;13;0;1;correct;0;;
1-random/000016_000000000019.dimacs;0.08;19;3;1;0;1;correct;0;;
1-random/000016_000000000048.dimacs;0.05;48;32;11;0;1;correct;0;;
1-random/000016_000000000096.dimacs;0.05;96;80;15;0;1;correct;0;;
1-random/000016_000000000160.dimacs;0.06;160;146;15;0;1;correct;0;;
1-random/000018_000000000021.dimacs;0.06;21;3;2;0;1;correct;0;;
1-random/000018_000000000054.dimacs;0.05;54;36;11;0;1;correct;0;;
1-random/000018_000000000108.dimacs;0.05;108;91;15;0;1;correct;0;;
1-random/000018_000000000180.dimacs;0.05;180;165;17;0;1;correct;0;;
1-random/000020_000000000024.dimacs;0.05;24;4;2;0;1;correct;0;;
1-random/000020_000000000060.dimacs;0.05;60;41;15;0;1;correct;0;;
1-random/000020_000000000120.dimacs;0.07;120;101;18;0;1;correct;0;;
1-random/000020_000000000200.dimacs;0.07;200;181;18;0;1;correct;0;;
1-random/000022_000000000026.dimacs;0.07;26;4;3;0;1;correct;0;;
1-random/000022_000000000066.dimacs;0.05;66;44;15;0;1;correct;0;;
1-random/000022_000000000132.dimacs;0.06;132;112;19;0;1;correct;0;;
1-random/000022_000000000220.dimacs;0.05;220;208;20;0;1;correct;0;;
1-random/000024_000000000028.dimacs;0.06;28;4;4;0;1;correct;0;;
1-random/000024_000000000072.dimacs;0.05;72;51;12;0;1;correct;0;;
1-random/000024_000000000144.dimacs;0.05;144;124;22;0;1;correct;0;;
1-random/000024_000000000240.dimacs;0.07;240;227;22;0;1;correct;0;;
1-random/000026_000000000031.dimacs;0.06;31;6;5;0;1;correct;0;;
1-random/000026_000000000078.dimacs;0.06;78;52;20;0;1;correct;0;;
1-random/000026_000000000156.dimacs;0.06;156;131;23;0;1;correct;0;;
1-random/000026_000000000260.dimacs;0.06;260;241;25;0;1;correct;0;;
1-random/000028_000000000033.dimacs;0.05;33;8;4;0;1;correct;0;;
1-random/000028_000000000084.dimacs;0.06;84;61;20;0;1;correct;0;;
1-random/000028_000000000168.dimacs;0.06;168;152;26;0;1;correct;0;;
1-random/000028_000000000280.dimacs;0.06;280;266;22;0;1;correct;0;;
1-random/000030_000000000036.dimacs;0.05;36;8;5;0;1;correct;0;;
1-random/000030_000000000090.dimacs;0.06;90;65;21;0;1;correct;0;;
1-random/000030_000000000180.dimacs;0.06;180;167;27;0;1;correct;0;;
1-random/000030_000000000300.dimacs;0.06;300;303;25;0;1;correct;0;;
1-random/000035_000000000042.dimacs;0.05;42;7;6;0;1;correct;0;;
1-random/000035_000000000105.dimacs;0.06;105;79;26;0;1;correct;0;;
1-random/000035_000000000210.dimacs;0.06;210;202;26;0;1;correct;0;;
1-random/000035_000000000350.dimacs;0.06;350;347;34;0;1;correct;0;;
1-random/000040_000000000048.dimacs;0.05;48;19;7;0;1;correct;0;;
1-random/000040_000000000120.dimacs;0.06;120;100;30;0;1;correct;0;;
1-random/000040_000000000240.dimacs;0.06;240;244;35;0;1;correct;0;;
